experiment_id,timestamp,chunk_size,chunk_overlap,dense_model,use_bge_small,use_bge_m3,use_splade,top_k,rrf_k,strategy,k_values,success,error_message,latency_ms,total_queries,metrics_ndcg_at_k,metrics_f1_at_k,metrics_precision_at_k,metrics_mean_latency_ms,metrics_std_latency_ms,metrics_mrr_at_k,metrics_total_queries,metrics_recall_at_k,metrics_hit_at_k
model_sentence-transformers_all-MiniLM-L6-v2_0,2026-05-13T04:40:39.407294,512,50,sentence-transformers/all-MiniLM-L6-v2,False,False,False,10,60,dense,"[1, 3, 5, 10]",True,,323388.90260000335,18460,"{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}",17.16591888947642,5.824654356238405,18460
model_BAAI_bge-small-en-v1.5_1,2026-05-13T04:40:39.407301,512,50,BAAI/bge-small-en-v1.5,True,False,False,10,60,dense,"[1, 3, 5, 10]",True,,325015.1118999929,18460,"{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}",17.25319985376436,6.028513329643279,18460
model_BAAI_bge-m3_2,2026-05-13T04:40:39.407305,512,50,BAAI/bge-m3,False,True,False,10,60,dense,"[1, 3, 5, 10]",True,,326124.5022000003,18460,"{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}",17.310957811487036,5.899202311555679,18460
model_sentence-transformers_all-MiniLM-L6-v2_0,2026-05-13T07:10:34.353224,512,50,sentence-transformers/all-MiniLM-L6-v2,False,False,False,10,60,dense,"[1, 3, 5, 10]",True,,1856.0171999997692,100,"{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}",18.1702669999504,4.875902551494258,100
model_BAAI_bge-small-en-v1.5_1,2026-05-13T07:10:34.353229,512,50,BAAI/bge-small-en-v1.5,True,False,False,10,60,dense,"[1, 3, 5, 10]",True,,2065.128799993545,100,"{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}",20.252531000296585,6.086795167774156,100
model_BAAI_bge-m3_2,2026-05-13T07:10:34.353233,512,50,BAAI/bge-m3,False,True,False,10,60,dense,"[1, 3, 5, 10]",True,,2433.353000000352,100,"{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}",23.937204000976635,24.413680465482248,100
model_sentence-transformers_all-MiniLM-L6-v2_0,2026-05-13T07:14:37.046821,512,50,sentence-transformers/all-MiniLM-L6-v2,False,False,False,10,60,dense,"[1, 3, 5, 10]",True,,2327.1832000027644,100,"{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}",22.863726000505267,6.981876507749864,100
model_BAAI_bge-small-en-v1.5_1,2026-05-13T07:14:37.046829,512,50,BAAI/bge-small-en-v1.5,True,False,False,10,60,dense,"[1, 3, 5, 10]",True,,2791.2069000012707,100,"{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}",27.50479499954963,17.185880965337116,100
model_BAAI_bge-m3_2,2026-05-13T07:14:37.046834,512,50,BAAI/bge-m3,False,True,False,10,60,dense,"[1, 3, 5, 10]",True,,3065.4693999968003,100,"{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}",30.26845200060052,26.74351109210351,100
model_sentence-transformers_all-MiniLM-L6-v2_0,2026-05-13T07:15:51.539477,512,50,sentence-transformers/all-MiniLM-L6-v2,False,False,False,10,60,dense,"[1, 3, 5, 10]",True,,2526.465699993423,100,"{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}",24.85553600039566,7.933195008471902,100
