experiment_id,timestamp,chunk_size,chunk_overlap,dense_model,use_bge_small,use_bge_m3,use_splade,top_k,rrf_k,strategy,k_values,success,error_message,latency_ms,total_queries,metrics_ndcg_at_k,metrics_f1_at_k,metrics_precision_at_k,metrics_mean_latency_ms,metrics_std_latency_ms,metrics_mrr_at_k,metrics_total_queries,metrics_recall_at_k,metrics_hit_at_k
strategy_dense_0,2026-05-13T04:56:58.548785,512,50,sentence-transformers/all-MiniLM-L6-v2,False,False,False,10,60,dense,"[1, 3, 5, 10]",True,,326181.71569999686,18460,"{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}",17.31461376488012,6.071167183215297,18460
strategy_sparse_1,2026-05-13T04:56:58.548798,512,50,sentence-transformers/all-MiniLM-L6-v2,False,False,False,10,60,sparse,"[1, 3, 5, 10]",True,,201461.61140000186,18460,"{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}",10.630018873250371,8.918336306406399,18460
strategy_hybrid_rrf_2,2026-05-13T04:56:58.548804,512,50,sentence-transformers/all-MiniLM-L6-v2,False,False,False,10,60,hybrid_rrf,"[1, 3, 5, 10]",True,,476388.23019999836,18460,"{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}",25.441926484253937,47.37931968609226,18460
strategy_hybrid_dbsf_3,2026-05-13T04:56:58.548808,512,50,sentence-transformers/all-MiniLM-L6-v2,False,False,False,10,60,hybrid_dbsf,"[1, 3, 5, 10]",True,,476308.9345999979,18460,"{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}",25.438135157123344,52.9953639058959,18460
strategy_colbert_4,2026-05-13T04:56:58.548812,512,50,sentence-transformers/all-MiniLM-L6-v2,False,False,False,10,60,colbert,"[1, 3, 5, 10]",True,,189332.8393999982,18460,"{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}",0.0,0.0,18460
strategy_dense_0,2026-05-13T07:10:44.095194,512,50,sentence-transformers/all-MiniLM-L6-v2,False,False,False,10,60,dense,"[1, 3, 5, 10]",True,,3175.0068999972427,100,"{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}",31.343790001265006,37.861817672155134,100
strategy_sparse_1,2026-05-13T07:10:44.095202,512,50,sentence-transformers/all-MiniLM-L6-v2,False,False,False,10,60,sparse,"[1, 3, 5, 10]",True,,933.8557000010042,100,"{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}",9.030225000024075,8.326695351284664,100
strategy_hybrid_rrf_2,2026-05-13T07:10:44.095207,512,50,sentence-transformers/all-MiniLM-L6-v2,False,False,False,10,60,hybrid_rrf,"[1, 3, 5, 10]",True,,8737.275200008298,100,"{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}",87.03241599985631,605.5861867680719,100
strategy_hybrid_dbsf_3,2026-05-13T07:10:44.095211,512,50,sentence-transformers/all-MiniLM-L6-v2,False,False,False,10,60,hybrid_dbsf,"[1, 3, 5, 10]",True,,8284.239600005094,100,"{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}",82.50546700000996,567.8291354304948,100
strategy_dense_0,2026-05-13T07:14:49.005771,512,50,sentence-transformers/all-MiniLM-L6-v2,False,False,False,10,60,dense,"[1, 3, 5, 10]",True,,2837.011200012057,100,"{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}",27.978452999523142,10.818103959195792,100
